Version,N,GFLOPS/s,GB/s
v0,128,492.778321,30.798645
v0,256,885.141436,27.66067
v0,400,1028.882545,20.577651
v0,512,1100.586419,17.196663
v0,700,1086.837102,12.420995
v0,1024,1136.94246,8.882363
v1,128,299.186837,4.674794
v2,128,407.226529,6.362915
v3,128,411.032384,6.422381
v4,128,242.650842,3.791419
v5,128,264.146938,4.127296
v6,128,267.358451,4.177476
v7,128,263.750915,4.121108
v8,128,275.739593,12.925293
v9,128,105.090717,1.642042
v10,128,105.342431,1.645975
v1,256,1125.899907,8.796093
v2,256,1661.599626,12.981247
v3,256,1685.478902,13.167804
v4,256,1185.657021,9.262945
v5,256,1215.34964,9.494919
v6,256,1189.666005,9.294266
v7,256,1215.34964,9.494919
v8,256,1275.951844,29.905121
v9,256,439.667255,3.4349
v10,256,440.906918,3.444585
v1,400,1094.76124,5.473806
v2,400,1909.892963,9.549465
v3,400,1948.007663,9.740038
v4,400,2392.47287,11.962364
v5,400,2424.891201,12.124456
v6,400,2428.18142,12.140907
v7,400,2461.58144,12.307907
v8,400,2084.126211,31.261893
v9,400,1091.201041,5.456005
v10,400,1092.978241,5.464891
v1,512,1405.4424,5.490009
v2,512,2409.888499,9.413627
v3,512,2449.205801,9.56721
v4,512,4188.615725,16.36178
v5,512,4193.295742,16.380061
v6,512,4180.838867,16.331402
v7,512,4194.858073,16.386164
v8,512,3738.047499,43.805244
v9,512,1812.459605,7.07992
v10,512,1829.838951,7.147808
v1,700,1346.164753,3.846185
v2,700,2563.517947,7.324337
v3,700,2556.684329,7.304812
v4,700,4287.427424,12.249793
v5,700,4274.053096,12.21158
v6,700,4281.685333,12.233387
v7,700,4279.138227,12.226109
v8,700,3875.663448,33.219972
v9,700,3109.91412,8.885469
v10,700,3161.165177,9.031901
v1,1024,1455.050523,2.841896
v2,1024,2820.037337,5.507885
v3,1024,2893.414473,5.6512
v4,1024,5096.299228,9.953709
v5,1024,5121.509783,10.002949
v6,1024,5250.480475,10.254845
v7,1024,5247.727368,10.249468
v8,1024,4428.75369,25.949729
v9,1024,6033.761559,11.784691
v10,1024,6118.189957,11.94959
v3,1500,2818.135414,15.030056
v5,1500,5094.021375,27.168114
v7,1500,5072.845727,27.055177
v9,1500,4989.259318,26.609383
v10,1500,5084.689655,27.118345
v3,2048,3034.936803,11.855222
v5,2048,5613.973389,21.929584
v7,2048,5673.826302,22.163384
v9,2048,6803.405974,26.575805
v10,2048,6917.63971,27.02203
v3,3000,3387.577509,9.03354
v5,3000,5913.717307,15.769913
v7,3000,5752.948097,15.341195
v9,3000,6785.862642,18.095634
v10,3000,6884.247039,18.357992
v7,4096,6197.669693,12.104824
v10,4096,7258.154204,14.176082
